date_time,Average PMV,Habitability?
2021-12-29 18:00:00,-0.6082802058744347,H
2021-12-29 19:00:00,-1.041974732795777,H
2021-12-29 20:00:00,-1.3671605079113507,H
2021-12-29 21:00:00,-1.5437842843708502,H
2021-12-29 22:00:00,-1.7212368690224882,H
2021-12-29 23:00:00,-1.8210102680528912,H
2021-12-30 00:00:00,-1.947520480955757,H
2021-12-30 01:00:00,-2.0148741172659386,H
2021-12-30 02:00:00,-2.092905980555766,H
2021-12-30 03:00:00,-2.1597372859717754,H
2021-12-30 04:00:00,-2.2064154499827837,H
2021-12-30 05:00:00,-2.2263652518711927,H
2021-12-30 06:00:00,-2.2421527051750316,H
2021-12-30 07:00:00,-2.2527300221181,H
2021-12-30 08:00:00,-2.248707116316938,H
2021-12-30 09:00:00,-2.2419336801832226,H
2021-12-30 10:00:00,-2.220916034739067,H
2021-12-30 11:00:00,-2.2691049742088976,H
2021-12-30 12:00:00,-2.2803734983695128,H
2021-12-30 13:00:00,-2.2725529375479954,H
2021-12-30 14:00:00,-2.2586572907061293,H
2021-12-30 15:00:00,-2.2760374946390285,H
2021-12-30 16:00:00,-2.281540184926859,H
2021-12-30 17:00:00,-2.2754471565914995,H
2021-12-30 18:00:00,-2.3005876209443206,H
2021-12-30 19:00:00,-2.341329526777159,H
2021-12-30 20:00:00,-2.3558812618457954,H
2021-12-30 21:00:00,-2.365745264503848,H
2021-12-30 22:00:00,-2.37112898151199,H
2021-12-30 23:00:00,-2.3904463094514345,H
2021-12-31 00:00:00,-2.4046019307603985,H
2021-12-31 01:00:00,-2.4080966145402347,H
2021-12-31 02:00:00,-2.413458210714636,H
2021-12-31 03:00:00,-2.429898999801729,H
2021-12-31 04:00:00,-2.4413155001420836,H
2021-12-31 05:00:00,-2.46896199110684,H
2021-12-31 06:00:00,-2.485594273302772,H
2021-12-31 07:00:00,-2.4857797897290963,H
2021-12-31 08:00:00,-2.488055480092181,H
2021-12-31 09:00:00,-2.4739957647301476,H
2021-12-31 10:00:00,-2.4663683572877493,H
2021-12-31 11:00:00,-2.4141942380937316,H
2021-12-31 12:00:00,-2.3936718951080542,H
2021-12-31 13:00:00,-2.36241220281965,H
2021-12-31 14:00:00,-2.3480649997044165,H
2021-12-31 15:00:00,-2.3441601504675487,H
2021-12-31 16:00:00,-2.3716565554540616,H
2021-12-31 17:00:00,-2.3947375773682342,H
2021-12-31 18:00:00,-2.438981799395798,H
2021-12-31 19:00:00,-2.5053127724652513,H
2021-12-31 20:00:00,-2.550784361384478,H
2021-12-31 21:00:00,-2.576147819179639,H
2021-12-31 22:00:00,-2.6152192487601567,H
2021-12-31 23:00:00,-2.642838599416209,H
2021-01-01 01:00:00,-3.8505017785136366,NH
2021-01-01 02:00:00,-3.8845308608430504,NH
2021-01-01 03:00:00,-3.9097084350157645,NH
2021-01-01 04:00:00,-3.9064393352318105,NH
2021-01-01 05:00:00,-3.897500533500382,NH
2021-01-01 06:00:00,-3.886999599019561,NH
2021-01-01 07:00:00,-3.8827210944916586,NH
2021-01-01 08:00:00,-3.8822466184853037,NH
2021-01-01 09:00:00,-3.8789208653025895,NH
2021-01-01 10:00:00,-3.870315175184508,NH
2021-01-01 11:00:00,-3.803667580054844,NH
2021-01-01 12:00:00,-3.6967702019782256,NH
2021-01-01 13:00:00,-3.6130777985033498,NH
2021-01-01 14:00:00,-3.5709386260919214,NH
2021-01-01 15:00:00,-3.5535797477920745,NH
2021-01-01 16:00:00,-3.5837541736775225,NH
2021-01-01 17:00:00,-3.638368446281595,NH
2021-01-01 18:00:00,-3.6891464112778127,NH
2021-01-01 19:00:00,-3.7250289753804253,NH
2021-01-01 20:00:00,-3.760638456184619,NH
2021-01-01 21:00:00,-3.7844699604115033,NH
2021-01-01 22:00:00,-3.796764343960126,NH
2021-01-01 23:00:00,-3.807284909397312,NH
2021-01-02 00:00:00,-3.8217988541858445,NH
2021-01-02 01:00:00,-3.8439461273967352,NH
2021-01-02 02:00:00,-3.860829548061249,NH
2021-01-02 03:00:00,-3.879358389355104,NH
2021-01-02 04:00:00,-3.8994130456290677,NH
2021-01-02 05:00:00,-3.9159474110785824,NH
2021-01-02 06:00:00,-3.9224649561630174,NH
2021-01-02 07:00:00,-3.9314570399441244,NH
2021-01-02 08:00:00,-3.9335742127808104,NH
2021-01-02 09:00:00,-3.896205350821424,NH
2021-01-02 10:00:00,-3.8603669103825955,NH
2021-01-02 11:00:00,-3.7488098531009446,NH
2021-01-02 12:00:00,-3.623510165732194,NH
2021-01-02 13:00:00,-3.5173342640899796,NH
2021-01-02 14:00:00,-3.4202076480082364,NH
2021-01-02 15:00:00,-3.4064539055428678,NH
2021-01-02 16:00:00,-3.4389401727146165,NH
2021-01-02 17:00:00,-3.5076251780495125,NH
2021-01-02 18:00:00,-3.5560313443760503,NH
2021-01-02 19:00:00,-3.6400798645901644,NH
2021-01-02 20:00:00,-3.714959286231272,NH
2021-01-02 21:00:00,-3.7741112996699915,NH
2021-01-02 22:00:00,-3.806962668623125,NH
2021-01-02 23:00:00,-3.857676767426747,NH
2021-01-03 00:00:00,-3.8896243943416127,NH
2021-01-03 01:00:00,-3.919783198124605,NH
2021-01-03 02:00:00,-3.950198022819206,NH
2021-01-03 03:00:00,-3.980129793958041,NH
2021-01-03 04:00:00,-3.9957759845210554,NH
2021-01-03 05:00:00,-4.008487785902286,NH
2021-01-03 06:00:00,-4.022421079524214,NH
2021-01-03 07:00:00,-4.036502361311096,NH
